#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:36Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:37Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:38Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:39Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:40Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:41Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:42Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:43Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:44Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:45Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:46Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:47Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:48Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:49Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:50Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:51Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:52Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:53Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:54Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
,,0,2025-01-02T17:31:34.233340538Z,2025-01-02T17:32:34.233340538Z,2025-01-02T17:31:55Z,33.330,value,sensor_readings,basyx_host,RecyclingAbsorber/BottomLevel
